,Ancestral sequences,ailuropoda_melanoleuca,anas_platyrhynchos,anolis_carolinensis,astyanax_mexicanus,bos_taurus,caenorhabditis_elegans,callithrix_jacchus,canis_familiaris,cavia_porcellus,chlorocebus_sabaeus,choloepus_hoffmanni,ciona_intestinalis,ciona_savignyi,danio_rerio,dasypus_novemcinctus,dipodomys_ordii,drosophila_melanogaster,echinops_telfairi,equus_caballus,erinaceus_europaeus,felis_catus,ficedula_albicollis,gadus_morhua,gallus_gallus,gasterosteus_aculeatus,gorilla_gorilla,homo_sapiens,ictidomys_tridecemlineatus,latimeria_chalumnae,lepisosteus_oculatus,loxodonta_africana,macaca_mulatta,macropus_eugenii,meleagris_gallopavo,microcebus_murinus,monodelphis_domestica,mus_musculus,mustela_putorius_furo,myotis_lucifugus,nomascus_leucogenys,ochotona_princeps,oreochromis_niloticus,ornithorhynchus_anatinus,oryctolagus_cuniculus,oryzias_latipes,otolemur_garnettii,ovis_aries,pan_troglodytes,papio_anubis,pelodiscus_sinensis,petromyzon_marinus,poecilia_formosa,pongo_abelii,procavia_capensis,pteropus_vampyrus,rattus_norvegicus,saccharomyces_cerevisiae,sarcophilus_harrisii,sorex_araneus,sus_scrofa,taeniopygia_guttata,takifugu_rubripes,tarsius_syrichta,tetraodon_nigroviridis,tupaia_belangeri,tursiops_truncatus,vicugna_pacos,xenopus_tropicalis,xiphophorus_maculatus
35,,,,,,,,,26524999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,,,,,,,,,30810995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,,,,,,,,,30902991,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,,,,,,,,,23914537,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3L,,,,,,,,,,,,,,,,,,24543557,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3R,,,,,,,,,,,,,,,,,,27905053,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,,,156502444.0,,120829699.0,,171630274.0,88276631,,91010382.0,,5505748.0,,62094675.0,,,1351857,,108569075.0,,,,,90216835.0,,201139530.0,190214555.0,,,,,167655696.0,,74864452.0,,435153693.0,156508116.0,,,,,,58987262,91394100.0,34636364.0,,119255633.0,193495092,165299245.0,,,,198332218.0,,,248343840.0,,,,143465943.0,69780378,,,9874776.0,,,,,
4A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20704505,,,,,,,,
5,,,,150641573.0,,121191424.0,,159171411.0,88915250,,75399963.0,,5035970.0,,75682077.0,,,,,99680356.0,,,,,59580361.0,,165930986,181538259.0,,,,,182086969.0,,62524071.0,,304825324.0,151834684.0,,,,,,24609220,37992211.0,33792114.0,,107901688.0,182651097,178775436.0,,,,183952662.0,,,177180328.0,,,,111506441.0,62374962,,,13390619.0,,,,,
6,,,,80741955,,119458736.0,,158406734.0,77573801,,50890351,,2365711.0,,59938731.0,,,,,84719076.0,,,,,34951654.0,,171703152.0,170805979.0,,,,,178205221.0,,53257280.0,,292091736.0,149736546.0,,,,,,16302927,27502587.0,26576615.0,,117031472.0,172623881,174439528.0,,,,174210431.0,,,156897508.0,,,,157765593.0,36305782,,,7024381.0,,,,,
7,,,,,,112638659.0,,155834243.0,80974532,,135778131.0,,6125209.0,,77276063.0,,,,,98542428.0,,,,,36245040.0,,158137892.0,159345973.0,,,,,169801366.0,,38723565.0,,260857928.0,145441459.0,,,,,,40039088,173684459.0,29492121.0,,100079507.0,161824586.0,162156779.0,,,,157549271.0,,,143501887.0,,,,134764511.0,39844632,,,11693588.0,,,,,
8,,,,,,113384836.0,,128169293.0,74330416,,139301422.0,,6398795.0,,56184765.0,,,,,94057673.0,,,,,28767244.0,,145327772.0,145138636.0,,,,,147794981.0,,38656188.0,,312544902.0,129401213.0,,,,,,,111795807.0,25865442.0,,90695168.0,143986469,139646187.0,,,,153482349.0,,,132457389.0,,,,148491826.0,27993427,,,10512681.0,,,,,
9,,,,,,105708250.0,,124281992.0,61074082,,125710982,,6586237.0,,58232459.0,,,,,83561422.0,,,,,23441680.0,,121947112.0,138394717.0,,,,,133323859.0,,19388849.0,,,124595110.0,,,,,,,116251907.0,33213694.0,,94726778.0,137840987,125196307.0,,,,135191526.0,,,121549591.0,,,,153670197.0,27241186,,,10554956.0,,,,,
A1,,,,,,,,,,,,,,,,,,,,,,239302903,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A2,,,,,,,,,,,,,,,,,,,,,,169043629,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A3,,,,,,,,,,,,,,,,,,,,,,142459683,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B1,,,,,,,,,,,,,,,,,,,,,,205241052,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B2,,,,,,,,,,,,,,,,,,,,,,154261789,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B3,,,,,,,,,,,,,,,,,,,,,,148491654,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B4,,,,,,,,,,,,,,,,,,,,,,144259557,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C1,,,,,,,,,,,,,,,,,,,,,,221441202,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C2,,,,,,,,,,,,,,,,,,,,,,157659299,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D1,,,,,,,,,,,,,,,,,,,,,,116869131,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D2,,,,,,,,,,,,,,,,,,,,,,89822065,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D3,,,,,,,,,,,,,,,,,,,,,,95741729,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D4,,,,,,,,,,,,,,,,,,,,,,96020406,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E1,,,,,,,,,,,,,,,,,,,,,,63002102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E2,,,,,,,,,,,,,,,,,,,,,,64039838,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E3,,,,,,,,,,,,,,,,,,,,,,43024555,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F1,,,,,,,,,,,,,,,,,,,,,,68669167,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F2,,,,,,,,,,,,,,,,,,,,,,82763536,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I,,,,,,,15072434.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,230218,,,,,,,,,,,,
II,,,,,,,15279421.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,813184,,,,,,,,,,,,
III,,,,,,,13783801.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,316620,,,,,,,,,,,,
IV,,,,,,,17493829.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1531933,,,,,,,,,,,,
IX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,439888,,,,,,,,,,,,
LG1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69065196,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LG10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42345482,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LG11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41528230,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
