sim	gammaShape	gammaScale	cumAbs
ABC_820/ABCOpt49/7/	1.0	178.665064818	-1.202275195
ABC_820/ABCOpt49/7/	1.0	178.665064818	-1.13772802417
ABC_820/ABCOpt49/7/	1.0	178.665064818	-1.18420777427
ABC_820/ABCOpt49/7/	1.0	178.665064818	-1.17277730353
ABC_820/ABCOpt49/7/	1.0	178.665064818	-1.2147117091
ABC_820/ABCOpt49/7/	1.0	178.665064818	-1.20123118299
ABC_820/ABCOpt49/7/	1.0	178.665064818	-1.17452802605
ABC_820/ABCOpt49/7/	1.0	178.665064818	-1.17270001632
ABC_820/ABCOpt49/7/	1.0	178.665064818	-1.2294460007
ABC_820/ABCOpt49/7/	1.0	178.665064818	-1.23128916674
ABC_820/ABCOpt49/7/	1.0	178.665064818	-1.22022289245
ABC_820/ABCOpt49/7/	1.0	178.665064818	-1.20743732555
ABC_820/ABCOpt49/7/	1.0	178.665064818	-1.24547573239
ABC_820/ABCOpt49/7/	1.0	178.665064818	-1.20772471937
ABC_820/ABCOpt49/7/	1.0	178.665064818	-1.21517067325
ABC_820/ABCOpt49/7/	1.0	178.665064818	-1.24394666478
ABC_820/ABCOpt49/7/	1.0	178.665064818	-1.19298723241
ABC_820/ABCOpt49/7/	1.0	178.665064818	-1.21563160477
ABC_820/ABCOpt49/7/	1.0	178.665064818	-1.24814214819
ABC_820/ABCOpt49/7/	1.0	178.665064818	-1.23920113462
ABC_820/ABCOpt49/7/	1.0	178.665064818	-1.22020816704
ABC_820/ABCOpt49/7/	1.0	178.665064818	-1.20439792548
ABC_820/ABCOpt49/7/	1.0	178.665064818	-1.17631059732
ABC_820/ABCOpt49/7/	1.0	178.665064818	-1.19402156865
ABC_300/ABCOpt17/7/	1.0	172.896820779	-1.22246620974
ABC_300/ABCOpt17/7/	1.0	172.896820779	-1.17611251826
ABC_300/ABCOpt17/7/	1.0	172.896820779	-1.12229493337
ABC_300/ABCOpt17/7/	1.0	172.896820779	-1.22172970334
ABC_300/ABCOpt17/7/	1.0	172.896820779	-1.1728813388
ABC_300/ABCOpt17/7/	1.0	172.896820779	-1.19936043493
ABC_300/ABCOpt17/7/	1.0	172.896820779	-1.18376068019
ABC_300/ABCOpt17/7/	1.0	172.896820779	-1.20640987762
ABC_300/ABCOpt17/7/	1.0	172.896820779	-1.15385271792
ABC_300/ABCOpt17/7/	1.0	172.896820779	-1.21057858538
ABC_300/ABCOpt17/7/	1.0	172.896820779	-1.22790591683
ABC_300/ABCOpt17/7/	1.0	172.896820779	-1.16432151199
ABC_300/ABCOpt17/7/	1.0	172.896820779	-1.20910240798
ABC_300/ABCOpt17/7/	1.0	172.896820779	-1.18886507358
