sim	gammaShape	gammaScale	cumAbs
ABC_460/ABCOpt17/7/	1.0	238.578008023	-2.36368559206
ABC_460/ABCOpt17/7/	1.0	238.578008023	-2.31726059461
ABC_460/ABCOpt17/7/	1.0	238.578008023	-2.38706140875
ABC_460/ABCOpt17/7/	1.0	238.578008023	-2.29921879812
ABC_460/ABCOpt17/7/	1.0	238.578008023	-2.30658477605
ABC_460/ABCOpt17/7/	1.0	238.578008023	-2.30633683479
ABC_460/ABCOpt17/7/	1.0	238.578008023	-2.34603014397
ABC_460/ABCOpt17/7/	1.0	238.578008023	-2.33221597684
ABC_460/ABCOpt17/7/	1.0	238.578008023	-2.35536955512
ABC_460/ABCOpt17/7/	1.0	238.578008023	-2.34300507684
ABC_460/ABCOpt17/7/	1.0	238.578008023	-2.29663363019
ABC_460/ABCOpt17/7/	1.0	238.578008023	-2.26882494543
ABC_460/ABCOpt17/7/	1.0	238.578008023	-2.36978570267
ABC_460/ABCOpt17/7/	1.0	238.578008023	-2.28870141528
ABC_460/ABCOpt17/7/	1.0	238.578008023	-2.36390430436
ABC_460/ABCOpt17/7/	1.0	238.578008023	-2.29484027501
ABC_460/ABCOpt17/7/	1.0	238.578008023	-2.31765524222
ABC_460/ABCOpt17/7/	1.0	238.578008023	-2.28968093575
ABC_460/ABCOpt17/7/	1.0	238.578008023	-2.33940984442
ABC_460/ABCOpt17/7/	1.0	238.578008023	-2.31669520496
ABC_460/ABCOpt17/7/	1.0	238.578008023	-2.29715799113
ABC_460/ABCOpt17/7/	1.0	238.578008023	-2.3462047379
ABC_460/ABCOpt17/7/	1.0	238.578008023	-2.27150378021
ABC_460/ABCOpt17/7/	1.0	238.578008023	-2.33374387124
ABC_460/ABCOpt17/7/	1.0	238.578008023	-2.28990078381
ABC_460/ABCOpt17/7/	1.0	238.578008023	-2.29440554417
ABC_460/ABCOpt17/7/	1.0	238.578008023	-2.34272281495
ABC_460/ABCOpt17/7/	1.0	238.578008023	-2.32696888071
ABC_460/ABCOpt17/7/	1.0	238.578008023	-2.29863547491
ABC_460/ABCOpt17/7/	1.0	238.578008023	-2.34582134617
ABC_460/ABCOpt17/7/	1.0	238.578008023	-2.27182850596
ABC_460/ABCOpt17/7/	1.0	238.578008023	-2.358855785
ABC_460/ABCOpt17/7/	1.0	238.578008023	-2.27595917551
ABC_460/ABCOpt17/7/	1.0	238.578008023	-2.27784398215
ABC_460/ABCOpt17/7/	1.0	238.578008023	-2.3371867025
ABC_460/ABCOpt17/7/	1.0	238.578008023	-2.34836338469
ABC_460/ABCOpt17/7/	1.0	238.578008023	-2.33544986871
ABC_460/ABCOpt17/7/	1.0	238.578008023	-2.37127955666
ABC_460/ABCOpt17/7/	1.0	238.578008023	-2.29582110105
ABC_460/ABCOpt17/7/	1.0	238.578008023	-2.31196781018
ABC_460/ABCOpt17/7/	1.0	238.578008023	-2.27948798571
ABC_460/ABCOpt17/7/	1.0	238.578008023	-2.29944934047
ABC_460/ABCOpt17/7/	1.0	238.578008023	-2.24854773356
ABC_460/ABCOpt17/7/	1.0	238.578008023	-2.29526271635
ABC_460/ABCOpt17/7/	1.0	238.578008023	-2.27142670039
ABC_460/ABCOpt17/7/	1.0	238.578008023	-2.28904162895
ABC_460/ABCOpt17/7/	1.0	238.578008023	-2.30333010392
ABC_460/ABCOpt17/7/	1.0	238.578008023	-2.31965821532
ABC_460/ABCOpt17/7/	1.0	238.578008023	-2.34099266666
ABC_460/ABCOpt17/7/	1.0	238.578008023	-2.36600311064
ABC_460/ABCOpt17/7/	1.0	238.578008023	-2.26970338625
ABC_460/ABCOpt17/7/	1.0	238.578008023	-2.32576601823
ABC_460/ABCOpt17/7/	1.0	238.578008023	-2.3505982575
ABC_460/ABCOpt17/7/	1.0	238.578008023	-2.31698977975
ABC_460/ABCOpt17/7/	1.0	238.578008023	-2.32025813505
ABC_460/ABCOpt17/7/	1.0	238.578008023	-2.30226935892
