sim	gammaShape	gammaScale	cumAbsMean	cumRelMean	HS-MM_mean	HS-MM_min	HS-MM_max
ABC_460/ABCOpt42/7/	1.0	220.219758784	0.521083202532	1.0451462369	-0.441625306064	-0.643118304653	-0.298155101565
ABC_460/ABCOpt43/7/	1.0	11.0209696299	0.569554091941	1.09705323141	-0.458542337184	-0.750411297995	-0.241808843924
ABC_460/ABCOpt44/7/	1.0	184.544828626	0.520351843291	1.04438213899	-0.431241537667	-0.636119278159	-0.248600353511
ABC_460/ABCOpt45/7/	1.0	45.9598770875	0.55129578448	1.07720464838	-0.444200294178	-0.652276534159	-0.275806328232
ABC_460/ABCOpt46/7/	1.0	75.8291202407	0.557831723646	1.08426825092	-0.445402017778	-0.600302744091	-0.27879501062
ABC_460/ABCOpt47/7/	1.0	15.2542425024	0.566910475728	1.09415687382	-0.449248187523	-0.635881141723	-0.290165029427
ABC_460/ABCOpt48/7/	1.0	196.021861811	0.523576706282	1.04775556479	-0.401439849173	-0.59369744582	-0.227688391717
ABC_460/ABCOpt49/7/	1.0	95.6459460093	0.548954073433	1.07468509753	-0.436578131281	-0.649851533071	-0.262111439587
ABC_460/ABCOpt5/7/	1.0	2.07776037558	0.5771981463	1.10547129904	-0.467834331425	-0.734488034296	-0.301518820409
ABC_460/ABCOpt6/7/	1.0	222.119737934	0.524779271663	1.04901631728	-0.4184440707	-0.647144711022	-0.195245492031
ABC_460/ABCOpt7/7/	1.0	165.875465512	0.551708351144	1.0776491588	-0.419265848077	-0.597480721525	-0.283841591374
ABC_460/ABCOpt8/7/	1.0	151.930856785	0.528012707693	1.05241373414	-0.409982735876	-0.703754219689	-0.191151477062
ABC_460/ABCOpt9/7/	1.0	136.429573535	0.540413502735	1.06554575663	-0.412635627357	-0.569866094827	-0.246923892657
ABC_47/ABCOpt/7/	1.0	88.6097177011	0.563180886422	1.09008371836	-0.43904929052	-0.607234678269	-0.251569581756
ABC_47/ABCOpt1/7/	1.0	108.116375252	0.54484839808	1.07028183479	-0.440955214399	-0.637307455318	-0.266798513507
ABC_47/ABCOpt2/7/	1.0	113.964045034	0.533079289032	1.05775940463	-0.415887600584	-0.741933862922	-0.256122232884
ABC_47/ABCOpt3/7/	1.0	86.5239654787	0.559034546902	1.08557321866	-0.439180583911	-0.601830050445	-0.26214955065
ABC_47/ABCOpt4/7/	1.0	128.598646866	0.555802567547	1.0820703321	-0.431000918422	-0.63329935243	-0.258385880092
