sim	gammaShape	gammaScale	cumAbs
ABC_820/ABCOpt49/7/	1.0	178.665064818	-0.470364462089
ABC_820/ABCOpt49/7/	1.0	178.665064818	-0.505040725433
ABC_820/ABCOpt49/7/	1.0	178.665064818	-0.616969820299
ABC_820/ABCOpt49/7/	1.0	178.665064818	-0.484326855476
ABC_820/ABCOpt49/7/	1.0	178.665064818	-0.578899551769
ABC_820/ABCOpt49/7/	1.0	178.665064818	-0.467640168265
ABC_820/ABCOpt49/7/	1.0	178.665064818	-0.588291255494
ABC_820/ABCOpt49/7/	1.0	178.665064818	-0.493898777797
ABC_820/ABCOpt49/7/	1.0	178.665064818	-0.477234592514
ABC_820/ABCOpt49/7/	1.0	178.665064818	-0.449859035027
ABC_820/ABCOpt49/7/	1.0	178.665064818	-0.469767360323
ABC_820/ABCOpt49/7/	1.0	178.665064818	-0.539234389874
ABC_820/ABCOpt49/7/	1.0	178.665064818	-0.462418295034
ABC_820/ABCOpt49/7/	1.0	178.665064818	-0.486696910852
ABC_820/ABCOpt49/7/	1.0	178.665064818	-0.574945126983
ABC_820/ABCOpt49/7/	1.0	178.665064818	-0.482963629816
ABC_820/ABCOpt49/7/	1.0	178.665064818	-0.543038564724
ABC_820/ABCOpt49/7/	1.0	178.665064818	-0.42304392708
ABC_820/ABCOpt49/7/	1.0	178.665064818	-0.522632207897
ABC_820/ABCOpt49/7/	1.0	178.665064818	-0.481759432356
ABC_820/ABCOpt49/7/	1.0	178.665064818	-0.486175052605
ABC_820/ABCOpt49/7/	1.0	178.665064818	-0.517972119942
ABC_820/ABCOpt49/7/	1.0	178.665064818	-0.542507968538
ABC_820/ABCOpt49/7/	1.0	178.665064818	-0.426189459297
ABC_820/ABCOpt49/7/	1.0	178.665064818	-0.554199202538
ABC_820/ABCOpt49/7/	1.0	178.665064818	-0.429297666901
ABC_820/ABCOpt49/7/	1.0	178.665064818	-0.570012398616
ABC_820/ABCOpt49/7/	1.0	178.665064818	-0.544387252958
ABC_820/ABCOpt49/7/	1.0	178.665064818	-0.585920519241
ABC_820/ABCOpt49/7/	1.0	178.665064818	-0.433314018412
ABC_820/ABCOpt49/7/	1.0	178.665064818	-0.505937672666
ABC_820/ABCOpt49/7/	1.0	178.665064818	-0.555451594545
ABC_820/ABCOpt49/7/	1.0	178.665064818	-0.451021807836
ABC_820/ABCOpt49/7/	1.0	178.665064818	-0.569382329731
ABC_820/ABCOpt49/7/	1.0	178.665064818	-0.40383218203
ABC_820/ABCOpt49/7/	1.0	178.665064818	-0.634384615042
ABC_820/ABCOpt49/7/	1.0	178.665064818	-0.489791585931
ABC_820/ABCOpt49/7/	1.0	178.665064818	-0.446412569634
ABC_820/ABCOpt49/7/	1.0	178.665064818	-0.536937658659
ABC_820/ABCOpt49/7/	1.0	178.665064818	-0.524026792252
ABC_820/ABCOpt49/7/	1.0	178.665064818	-0.517631826584
ABC_820/ABCOpt49/7/	1.0	178.665064818	-0.575018924125
ABC_820/ABCOpt49/7/	1.0	178.665064818	-0.536719047552
ABC_820/ABCOpt49/7/	1.0	178.665064818	-0.517316632798
ABC_820/ABCOpt49/7/	1.0	178.665064818	-0.639829453721
ABC_820/ABCOpt49/7/	1.0	178.665064818	-0.574303187174
ABC_820/ABCOpt49/7/	1.0	178.665064818	-0.470280805531
ABC_820/ABCOpt49/7/	1.0	178.665064818	-0.64987405792
ABC_820/ABCOpt49/7/	1.0	178.665064818	-0.566780235595
ABC_820/ABCOpt49/7/	1.0	178.665064818	-0.425036492285
ABC_820/ABCOpt49/7/	1.0	178.665064818	-0.676286880343
ABC_820/ABCOpt49/7/	1.0	178.665064818	-0.539300524928
ABC_820/ABCOpt49/7/	1.0	178.665064818	-0.536647412784
ABC_820/ABCOpt49/7/	1.0	178.665064818	-0.621055405237
ABC_820/ABCOpt49/7/	1.0	178.665064818	-0.564255286715
ABC_820/ABCOpt49/7/	1.0	178.665064818	-0.513983373049
ABC_820/ABCOpt49/7/	1.0	178.665064818	-0.54861953356
ABC_820/ABCOpt49/7/	1.0	178.665064818	-0.520014255901
ABC_820/ABCOpt49/7/	1.0	178.665064818	-0.524622454013
ABC_820/ABCOpt49/7/	1.0	178.665064818	-0.503226188819
ABC_820/ABCOpt49/7/	1.0	178.665064818	-0.485973656593
